Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,631,Endzone B,0.231,0.440,Field,0.935,0.458,yds,9.8,1.0,-9.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,635,Field,0.935,0.458,Field,0.881,0.186,yds,15.2,14.5,-4.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,639,Field,0.881,0.186,Field,0.922,0.470,yds,15.5,15.2,3.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,643,Field,0.922,0.470,Field,0.924,0.699,yds,12.2,12.2,0.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,647,Field,0.924,0.699,Field,0.843,0.796,yds,8.3,5.2,-6.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,651,Field,0.843,0.796,Field,0.927,0.681,yds,9.1,6.2,6.7,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,655,Field,0.927,0.681,Field,0.921,0.226,yds,24.3,24.3,-0.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,659,Field,0.921,0.226,Field,0.937,0.418,yds,10.3,10.2,1.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,663,Field,0.937,0.418,Field,0.941,0.688,yds,14.4,14.4,0.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,667,Field,0.941,0.688,Field,0.863,0.799,yds,8.6,5.9,-6.3,
