Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Offense,Catch,Groulx,Massi,,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,695,Field,0.113,0.586,Field,0.053,0.723,yds,8.7,7.3,4.8,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Offense,Goal,Massi,Lemieux,,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,711,Field,0.053,0.723,Endzone A,0.366,0.127,yds,36.0,31.7,16.9,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,Pull,,,Hibbert,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,762,Endzone A,0.893,0.325,Endzone B,0.072,0.256,yds,83.7,3.7,83.6,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,OpponentCatch,,,Anonymous,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,765,Endzone B,0.086,0.249,Field,0.967,0.512,yds,14.7,14.0,-4.3,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,D,,,Gamache,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,769,Field,0.967,0.512,Field,0.791,0.632,yds,15.5,6.4,-14.1,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Offense,Catch,Gamache,Genest,,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,772,Field,0.755,0.617,Field,0.618,0.617,yds,11.0,0.0,-11.0,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Offense,Throwaway,Genest,Anonymous,,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,779,Field,0.618,0.617,Endzone B,0.672,0.863,yds,45.9,13.1,44.0,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,OpponentCatch,,,Anonymous,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,788,Endzone B,0.138,0.819,Field,0.999,0.474,yds,18.6,18.4,-2.8,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,OpponentCatch,,,Anonymous,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,792,Field,0.999,0.474,Field,0.832,0.144,yds,22.1,17.6,-13.4,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,OpponentCatch,,,Anonymous,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,795,Field,0.832,0.144,Field,0.565,0.179,yds,21.4,1.8,-21.4,
2018-07-07 18:15,AUDL,Toronto Rush,40,D,3,4,Defense,Goal,,,Anonymous,,Chaouch,Hibbert,Goderre,Joncas,Gamache,Genest,Jean G,,,,,,,,,,,,,,,,,,,,,,800,Field,0.565,0.179,Endzone A,0.341,0.352,yds,59.1,9.3,-58.3,
